"timeframe" "time" "price_in_usd"
"1D" "2024-08-26_16:45:00" 63785.8151506956
"1D" "2024-08-26_16:40:00" 63743.6628130378
"1D" "2024-08-26_16:35:00" 63591.8364157075
"1D" "2024-08-26_16:30:00" 63650.6682440887
"1D" "2024-08-26_16:25:00" 63556.7258370706
"1D" "2024-08-26_16:20:00" 63645.6828619367
"1D" "2024-08-26_16:15:00" 63592.4295743632
"1D" "2024-08-26_16:10:00" 63639.9367178329
"1D" "2024-08-26_16:05:00" 63713.9467441902
"1D" "2024-08-26_16:00:00" 63796.3517195412
"1D" "2024-08-26_15:55:00" 63819.2442911699
"1D" "2024-08-26_15:50:00" 63841.006158832
"1D" "2024-08-26_15:45:00" 63934.3891752895
"1M" "2024-08-27_15:42:32" 62315.9702703282
"1M" "2024-08-27_14:30:00" 62325.88700041
"1M" "2024-08-27_13:30:00" 62688.5252675888
"1M" "2024-08-27_12:30:00" 62814.6402515951
"1M" "2024-08-27_11:30:00" 62899.801260595
"1M" "2024-08-27_10:30:00" 62767.3408106965
"1M" "2024-08-27_09:30:00" 63150.2053232262
"1M" "2024-08-27_08:30:00" 63049.5655902115
"1M" "2024-08-27_07:30:00" 62988.9369144717
"1M" "2024-08-27_06:30:00" 62990.9132396147
"1M" "2024-08-27_05:30:00" 63064.1944660906
"1M" "2024-08-27_04:30:00" 62711.5118832513
"1M" "2024-08-27_03:30:00" 62879.7084021583
"1M" "2024-08-27_02:30:00" 63026.27503934
"1M" "2024-08-27_01:30:00" 63202.4403689322
"1M" "2024-08-27_00:30:00" 63450.9727554017
"1M" "2024-08-26_23:30:00" 63309.4859783851
"1M" "2024-08-26_22:30:00" 63643.1312803831
"1M" "2024-08-26_21:30:00" 63409.8976056797
"1M" "2024-08-26_20:30:00" 63697.4967456259
"1M" "2024-08-26_19:30:00" 63584.9489379061
"1M" "2024-08-26_18:30:00" 63445.7323743936
"1M" "2024-08-26_17:30:00" 63774.5113380877
"1M" "2024-08-26_16:30:00" 63646.164415031
"1M" "2024-08-26_15:30:00" 63880.4349733167
"1M" "2024-08-26_14:30:00" 63808.9635452181
"1M" "2024-08-26_13:30:00" 63816.0280466001
"1M" "2024-08-26_12:30:00" 63760.9220329857
"1M" "2024-08-26_11:30:00" 63657.6700067635
"1M" "2024-08-26_10:30:00" 63725.8774351357
"1M" "2024-08-26_09:30:00" 63980.7353965555
"1M" "2024-08-26_08:30:00" 64025.9281871215
"1M" "2024-08-26_06:30:00" 64078.8778383171
"1M" "2024-08-26_05:30:00" 63958.2963734587
"1M" "2024-08-26_04:30:00" 64145.180401018
"1M" "2024-08-26_03:30:00" 64342.2254421225
"1M" "2024-08-26_02:30:00" 64524.7042752377
"1M" "2024-08-26_01:30:00" 64428.6379971331
"1M" "2024-08-26_00:30:00" 64247.746095482
"1M" "2024-08-25_23:30:00" 64216.7339043394
"1M" "2024-08-25_22:30:00" 64192.9415786341
"1M" "2024-08-25_21:30:00" 64159.0963634092
"1M" "2024-08-25_20:30:00" 64072.3805732766
"1M" "2024-08-25_19:30:00" 64175.0686216737
"1M" "2024-08-25_18:30:00" 64189.2189972292
"1M" "2024-08-25_17:30:00" 64119.0474981843
"1M" "2024-08-25_16:30:00" 63957.8471551041
"1M" "2024-08-25_15:30:00" 63895.9165942372
"1M" "2024-08-25_14:30:00" 63887.7364844825
"1M" "2024-08-25_13:30:00" 63901.1675870965
"1M" "2024-08-25_12:30:00" 63960.9598760154
"1M" "2024-08-25_11:30:00" 63900.7427943434
"1M" "2024-08-25_10:30:00" 64038.4640184294
"1M" "2024-08-25_09:30:00" 64161.9372901823
"1M" "2024-08-25_08:30:00" 64168.9286957877
"1M" "2024-08-25_07:30:00" 64140.7477969412
"1M" "2024-08-25_06:30:00" 64170.4702354113
"1M" "2024-08-25_05:30:00" 64194.6317368082
"1M" "2024-08-25_04:30:00" 64196.2275595871
"1M" "2024-08-25_03:30:00" 64176.3670669592
"1M" "2024-08-25_02:30:00" 63924.7289885881
"1M" "2024-08-25_01:30:00" 63640.1533934731
"1M" "2024-08-25_00:30:00" 64189.8420641266
"1M" "2024-08-24_23:30:00" 64256.7224349899
"1M" "2024-08-24_22:30:00" 64265.7764687253
"1M" "2024-08-24_21:30:00" 64026.5419850567
"1M" "2024-08-24_20:30:00" 64298.1202077007
"1M" "2024-08-24_19:30:00" 63999.720065601
"1M" "2024-08-24_18:30:00" 64188.1182818371
"1M" "2024-08-24_17:30:00" 64206.0245057898
"1M" "2024-08-24_15:30:00" 63962.5153362005
"1M" "2024-08-24_14:30:00" 64156.2082562179
"1M" "2024-08-24_13:30:00" 64359.7294986951
"1M" "2024-08-24_12:30:00" 64350.2264797554
"1M" "2024-08-24_11:30:00" 64319.4235484552
"1M" "2024-08-24_10:30:00" 64112.4215146519
"1M" "2024-08-24_09:30:00" 64029.4370710153
"1M" "2024-08-24_08:30:00" 63935.7422893905
"1M" "2024-08-24_07:30:00" 63898.6940528612
"1M" "2024-08-24_06:30:00" 63985.996925991
"1M" "2024-08-24_05:30:00" 63862.8791377111
"1M" "2024-08-24_04:30:00" 64037.8287042084
"1M" "2024-08-24_03:30:00" 64103.8695897208
"1M" "2024-08-24_02:30:00" 64151.1878252425
"1M" "2024-08-24_01:30:00" 64453.5918931519
"1M" "2024-08-24_00:30:00" 63683.3355407428
"1M" "2024-08-23_23:30:00" 63598.3840733049
"1M" "2024-08-23_22:30:00" 63209.360235211
"1M" "2024-08-23_21:30:00" 62997.4742306786
"1M" "2024-08-23_20:30:00" 61744.647751167
